blocks,threads,reps,bandwidth
3456,64,1024,2751.12
3456,64,2048,2762.31
3456,64,4096,2764.14
3456,64,8192,2760.36
3456,64,16384,2766.07
3456,64,32768,2769.39
3456,64,65536,2783.05
3456,64,131072,2777.3
3456,64,262144,2767.34
3456,128,2,1271.57
3456,128,4,1649.6
3456,128,8,1984.88
3456,128,16,2405.33
3456,128,32,2597.24
3456,128,64,2766.47
3456,128,128,2768.43
3456,128,256,2823.45
3456,128,512,2816.84
3456,128,1024,2790.68
3456,128,2048,2788.68
3456,128,4096,2804.64
3456,128,8192,2800.46
3456,128,16384,2819.57
3456,128,32768,2807.35
3456,128,65536,2782.19
3456,128,131072,2756.55
3456,128,262144,2749.89
3456,256,2,1017.25
3456,256,4,1627.6
3456,256,8,2199.47
3456,256,16,2625.17
3456,256,32,2632.24
3456,256,64,2686.55
3456,256,128,2790.18
3456,256,256,2799.18
3456,256,512,2768.43
3456,256,1024,2698.15
3456,256,2048,2763.29
3456,256,4096,2806.66
3456,256,8192,2793.58
3456,256,16384,2759.55
3456,256,32768,2725.85
3456,256,65536,2712.99
3456,256,131072,2706.79
3456,256,262144,2705.16
3456,512,2,452.112
3456,512,4,953.674
3456,512,8,1627.6
3456,512,16,2209.42
3456,512,32,2690.25
3456,512,64,2754.76
3456,512,128,2822.44
3456,512,256,2823.45
3456,512,512,2801.18
3456,512,1024,2834.21
3456,512,2048,2869.47
3456,512,4096,2833.37
3456,512,8192,2822.79
3456,512,16384,2804.47
3456,512,32768,2798.18
3456,512,65536,2802.32
3456,512,131072,2793.91
3456,512,262144,2786.67
3456,1024,2,276.177
3456,1024,4,604.308
3456,1024,8,1387.16
3456,1024,16,1863.67
3456,1024,32,2047.3
3456,1024,64,2116.06
3456,1024,128,2155.77
3456,1024,256,2146.88
3456,1024,512,2158.75
3456,1024,1024,2214.27
3456,1024,2048,2380.95
3456,1024,4096,2353.16
3456,1024,8192,2359.96
3456,1024,16384,2443.24
3456,1024,32768,2490.88
3456,1024,65536,2482.39
3456,1024,131072,2486.51
3456,1024,262144,2483.32
