96,1020,880,420,920,624,572,456,624,732,788,428,776,644,724,936,628,736,1160,408,876,640,732,796,644,728,944,440,732,644,732,944,628,716,764,408,908,628,744,728,628,752,928,456,764,640,724,908,624,748,776,424,564,640,724,496,620,732,844,488,468,636,720,1116,936,488,816,436,912,624,744,744,636,720,884,436,772,636,452,928,640,720,736,408,572,628,744,504,640,720,1020,448,480,628,748,1184,628,724,508,420,596,632,744,464,628,740,556,424,508,636,728,588,628,736,464,404,560,624,744,492,624,588,580,436,468,636,548,592,620
100,1028,908,448,888,632,620,496,456,784,628,756,804,648,908,636,764,772,624,752,1484,628,820,640,732,868,408,776,640,728,864,420,788,616,752,876,628,776,624,584,912,612,736,788,432,872,636,688,824,560,552,644,728,524,440,968,624,716,520,968,500,884,632,844,644,716,880,412,792,644,732,872,424,804,632,588,896,648,1172,632,736,560,632,764,532,632,1244,628,732,524,456,1136,628,732,532,444,560,620,740,512,628,544,640,732,532,628,724,548,408,508,636,724,548,416,520,624,752,548,404,516,624,744,576,628,744,952,624,552,628
104,916,772,636,920,632,752,472,644,796,628,764,644,732,924,632,736,616,744,880,436,780,640,728,892,428,736,644,728,880,440,820,624,712,896,640,736,628,740,904,644,752,636,900,624,748,788,644,892,628,724,756,400,948,632,752,748,416,900,644,732,1556,428,912,632,756,756,636,900,636,764,760,644,912,640,752,644,732,612,628,496,632,728,584,436,488,628,748,568,436,492,640,728,584,440,476,628,732,564,628,492,636,728,572,636,476,636,572,624,740,480,632,572,616,740,480,408,600,628,744,480,1472,576,632,748,628,436,580,644
108,1000,904,632,880,632,500,512,668,772,412,796,644,972,628,728,764,440,884,632,728,812,628,864,624,768,636,728,860,640,784,628,872,616,744,772,444,908,632,748,792,616,872,632,824,644,732,552,632,524,632,580,636,696,516,448,880,632,732,844,636,880,412,788,644,720,868,644,796,628,888,644,728,780,448,556,628,528,640,728,556,412,520,628,748,544,636,524,640,556,620,740,508,636,540,632,524,628,724,544,412,508,640,728,548,628,516,628,548,624,748,512,640,576,624,516,644,732,552,412,540,628,728,556,632,524,436,580,636
112,1016,864,624,908,436,468,480,824,616,744,764,628,924,628,732,628,736,884,628,780,412,1592,624,740,632,728,884,644,752,636,904,632,744,744,648,940,468,756,648,900,616,744,792,628,576,644,488,632,748,604,640,484,416,900,640,804,628,724,904,640,1308,632,892,624,732,760,636,1568,436,748,640,580,616,596,492,628,632,624,488,628,732,984,636,492,412,584,632,476,620,744,808,628,492,644,572,632,736,476,636,600,440,484,632,576,620,752,480,648,808,628,480,640,720,576,644,508,440,756,952,484,620,744,604,640,484,964,580,964
116,896,1076,624,892,644,492,628,812,616,812,640,732,916,640,760,432,848,640,828,640,884,632,756,764,620,848,404,800,632,888,636,748,764,636,900,644,800,440,884,632,812,640,732,540,628,528,640,588,616,504,968,864,640,728,848,624,884,632,776,640,856,624,1504,624,716,900,644,772,628,544,628,536,628,568,628,756,512,644,532,412,536,640,572,628,524,628,732,532,616,540,456,560,632,708,644,736,536,644,528,648,560,416,728,628,560,628,748,528,632,564,640,532,632,540,644,816,624,728,588,640,504,624,544,640,556,640,564,624
120,1000,884,636,924,644,460,468,820,620,780,972,936,632,724,632,1016,876,628,792,632,904,648,724,396,872,624,760,628,908,628,724,628,736,924,636,760,628,928,632,776,624,568,636,496,620,1156,624,732,472,624,992,628,816,628,912,444,744,640,888,632,772,632,924,644,720,740,628,572,652,504,636,596,624,480,636,560,636,504,648,736,592,644,468,644,556,632,504,420,584,628,464,644,560,644,492,632,732,580,644,468,640,588,644,492,632,1016,624,492,640,564,960,484,492,636,612,636,468,628,568,1296,524,636,588,628,476,640,568,640
124,1020,1288,636,904,648,500,644,824,632,816,632,920,644,764,632,856,628,832,640,1340,628,772,640,1564,608,800,624,888,628,740,764,640,904,632,804,628,892,640,820,628,544,624,540,640,500,448,516,964,872,640,856,644,900,632,788,644,868,628,816,640,912,648,736,784,636,552,648,548,636,576,644,520,632,540,644,544,632,580,628,508,616,536,644,548,640,564,632,504,632,688,624,536,632,744,564,636,508,632,564,636,532,624,568,636,536,624,1252,628,536,452,596,628,512,640,552,640,564,640,1048,624,520,640,548,632,540,636,748,576
128,900,780,632,916,644,456,640,948,624,776,624,932,640,720,640,872,612,788,628,904,640,724,628,872,632,760,640,908,640,724,644,924,632,768,628,912,644,780,632,884,620,768,644,964,648,736,636,896,620,824,636,916,648,744,632,884,632,772,644,928,628,740,628,572,632,504,628,592,640,476,640,556,628,504,628,592,640,464,640,556,612,504,624,584,636,464,624,1064,604,492,644,580,644,468,640,592,628,492,632,984,640,496,628,568,632,496,648,612,644,472,632,568,620,524,632,592,648,536,632,568,636,868,644,600,636,984,632,572
132,888,808,624,880,504,624,772,624,804,632,900,624,768,632,860,644,820,636,872,624,772,628,864,644,788,640,876,644,776,644,916,644,796,628,880,648,828,872,648,796,620,932,632,780,648,876,644,848,628,884,632,792,456,876,644,796,628,892,628,1560,624,560,640,908,616,556,640,996,544,628,528,640,560,620,512,624,544,640,532,640,548,628,508,644,552,640,520,640,548,636,516,644,580,644,520,632,552,644,540,632,872,524,632,912,624,524,644,560,648,556,644,1336,624,528,644,556,1452,528,644,592,612,524,628,564,644,532,628,560
136,1048,872,908,620,472,472,800,624,768,636,928,636,740,632,888,624,784,624,900,740,640,888,628,756,616,904,432,744,648,944,644,760,620,908,800,644,500,644,452,628,508,624,468,624,908,628,812,624,908,632,760,900,624,764,624,920,628,752,420,584,636,496,620,584,628,488,568,620,496,632,588,620,480,616,572,624,496,624,576,640,804,616,576,484,624,576,624,484,620,604,492,488,628,584,640,508,620,580,488,624,608,632,488,644,1056,632,516,632,584,644,496,628,584,636,496,592,636,492,640,584,620,496,412,588,636,1028,636,572
140,888,1580,884,628,500,632,776,412,804,640,904,644,768,864,644,816,632,864,408,772,628,860,640,784,876,620,772,624,908,636,788,624,872,632,820,868,636,788,620,916,628,776,620,872,836,636,876,620,788,632,868,636,796,636,884,780,628,556,624,528,444,560,640,520,636,572,528,640,888,624,508,440,544,628,528,632,548,740,640,548,624,884,432,548,640,1216,636,576,516,636,548,628,540,628,552,628,524,632,576,516,636,556,636,544,620,552,640,520,552,624,520,624,1096,936,516,624,552,636,528,552,616,520,624,544,412,728,624,560
