blocks,threads,reps,bandwidth
4224,32,16,4653.99
4224,32,32,4867.1
4224,32,64,4744.19
4224,32,128,4744.67
4224,32,256,4712.42
4224,32,512,4793.92
4224,32,1024,4833.41
4224,32,2048,4889.73
4224,32,4096,4885.03
4224,32,8192,4840.42
4224,32,16384,4812.79
4224,32,32768,4616.09
4224,32,65536,4507.71
4224,32,131072,4470.12
4224,32,262144,4414.91
4224,64,2,1651.46
4224,64,4,2831.98
4224,64,8,4133.6
4224,64,16,5737.45
4224,64,32,6823.14
4224,64,64,7946.26
4224,64,128,8690.21
4224,64,256,8830.39
4224,64,512,9081.11
4224,64,1024,9397.26
4224,64,2048,9345.82
4224,64,4096,9411.22
4224,64,8192,9124.89
4224,64,16384,9052.01
4224,64,32768,8861.27
4224,64,65536,8852.11
4224,64,131072,8741.66
4224,64,262144,8782.67
4224,128,2,1633.05
4224,128,4,2974.3
4224,128,8,4687.5
4224,128,16,5588.34
4224,128,32,6046.05
4224,128,64,6770.42
4224,128,128,7738.34
4224,128,256,8115.13
4224,128,512,8524.47
4224,128,1024,8709.23
4224,128,2048,9003.63
4224,128,4096,9210.99
4224,128,8192,9175.01
4224,128,16384,8885.55
4224,128,32768,8680.65
4224,128,65536,8448.54
4224,128,131072,8435.15
4224,128,262144,8453.76
4224,256,2,1320.87
4224,256,4,3110.07
4224,256,8,4364.53
4224,256,16,6286.88
4224,256,32,6677.35
4224,256,64,7480.85
4224,256,128,8028.26
4224,256,256,8303.07
4224,256,512,8652.62
4224,256,1024,9059.94
4224,256,2048,9693.15
4224,256,4096,8417.61
4224,256,8192,8378.13
4224,256,16384,8349.12
4224,256,32768,8377.09
4224,256,65536,8362.68
4224,256,131072,8298.92
4224,256,262144,8293.32
4224,512,2,1109.73
4224,512,4,2162.13
4224,512,8,3760.83
4224,512,16,5782.75
4224,512,32,6738.79
4224,512,64,7162.5
4224,512,128,7394.99
4224,512,256,7637.47
4224,512,512,7933.74
4224,512,1024,8281.25
4224,512,2048,8156.87
4224,512,4096,7589.21
4224,512,8192,7552.79
4224,512,16384,7547.24
4224,512,32768,7566.9
4224,512,65536,7565.25
4224,512,131072,7499.87
4224,512,262144,7504.85
4224,1024,2,856.634
4224,1024,4,1891.95
4224,1024,8,3696.77
4224,1024,16,4414.67
4224,1024,32,4841.96
4224,1024,64,5091.79
4224,1024,128,5206.45
4224,1024,256,5310.79
